algorithm,Mass,Friction,steps,reward,model
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
PPO,7.527887462044959,0.8,1000,1000,Models/CartPole_models/Ideal_models/CartPole_model_1
